time,temperature_2m (°C)
2026-05-26 00:00:00,25.3
2026-05-26 01:00:00,24.1
2026-05-26 02:00:00,23.2
2026-05-26 03:00:00,22.2
2026-05-26 04:00:00,21.3
2026-05-26 05:00:00,20.2
2026-05-26 06:00:00,19.2
2026-05-26 07:00:00,19.0
2026-05-26 08:00:00,21.3
2026-05-26 09:00:00,22.7
2026-05-26 10:00:00,24.5
2026-05-26 11:00:00,26.5
2026-05-26 12:00:00,28.3
2026-05-26 13:00:00,29.9
2026-05-26 14:00:00,31.3
2026-05-26 15:00:00,32.2
2026-05-26 16:00:00,32.8
2026-05-26 17:00:00,33.0
2026-05-26 18:00:00,32.6
2026-05-26 19:00:00,31.9
2026-05-26 20:00:00,30.8
2026-05-26 21:00:00,29.3
2026-05-26 22:00:00,27.7
2026-05-26 23:00:00,26.2
2026-05-27 00:00:00,24.9
2026-05-27 01:00:00,23.9
2026-05-27 02:00:00,22.9
2026-05-27 03:00:00,22.2
2026-05-27 04:00:00,21.7
2026-05-27 05:00:00,21.1
2026-05-27 06:00:00,20.5
2026-05-27 07:00:00,20.3
2026-05-27 08:00:00,21.6
2026-05-27 09:00:00,23.3
2026-05-27 10:00:00,25.2
2026-05-27 11:00:00,27.1
2026-05-27 12:00:00,29.0
2026-05-27 13:00:00,30.5
2026-05-27 14:00:00,31.3
2026-05-27 15:00:00,31.9
2026-05-27 16:00:00,32.3
2026-05-27 17:00:00,32.4
2026-05-27 18:00:00,32.1
2026-05-27 19:00:00,31.5
2026-05-27 20:00:00,30.9
2026-05-27 21:00:00,29.7
2026-05-27 22:00:00,28.7
2026-05-27 23:00:00,27.0
2026-05-28 00:00:00,25.8
2026-05-28 01:00:00,24.8
2026-05-28 02:00:00,23.9
2026-05-28 03:00:00,23.1
2026-05-28 04:00:00,22.4
2026-05-28 05:00:00,21.7
2026-05-28 06:00:00,20.9
2026-05-28 07:00:00,20.4
2026-05-28 08:00:00,21.1
2026-05-28 09:00:00,22.4
2026-05-28 10:00:00,24.2
2026-05-28 11:00:00,26.1
2026-05-28 12:00:00,28.1
2026-05-28 13:00:00,30.0
2026-05-28 14:00:00,31.6
2026-05-28 15:00:00,32.3
2026-05-28 16:00:00,32.4
2026-05-28 17:00:00,32.8
2026-05-28 18:00:00,32.9
2026-05-28 19:00:00,32.6
2026-05-28 20:00:00,31.7
2026-05-28 21:00:00,30.3
2026-05-28 22:00:00,28.5
2026-05-28 23:00:00,27.3
